31/07/2020	16:54
######	######	######	######
Input parameter	Value		
Start phase (Rad)	0.0000000000
Phase step (Rad)	1.0000000000
End phase (Rad)	300.0000000000
Pulse 1 start time after trigger (ms)	0.1200000000
Pulse 2 start time after trigger (ms)	0.7200000000
Loop averages	1.0000000000
Sweep rate (Hz/s)	0.0000000000
k_eff  (m^-1)	0.0000000000
Pi pulse (us)	4.5000000000
Pulse separation  (ms)	3.0000000000
######	######	######	######	######
Laser phase (deg)	Average1	Standard Deviation	Average Population	Best fit
12574.545	0.186	NaN	0.186	0.190
12575.180	0.187	NaN	0.187	0.194
12575.287	0.196	NaN	0.196	0.195
12574.345	0.188	NaN	0.188	0.190
12576.087	0.217	NaN	0.217	0.202
12571.512	0.220	NaN	0.220	0.207
12577.334	0.224	NaN	0.224	0.208
12571.664	0.225	NaN	0.225	0.206
12569.523	0.189	NaN	0.189	0.200
12567.611	0.216	NaN	0.216	0.190
12575.590	0.200	NaN	0.200	0.198
12569.196	0.190	NaN	0.190	0.197
12582.877	0.224	NaN	0.224	0.206
12574.954	0.192	NaN	0.192	0.192
12576.573	0.222	NaN	0.222	0.206
12573.154	0.211	NaN	0.211	0.194
12577.589	0.226	NaN	0.226	0.208
12574.900	0.189	NaN	0.189	0.192
12578.199	0.206	NaN	0.206	0.204
12574.164	0.192	NaN	0.192	0.190
12574.720	0.191	NaN	0.191	0.191
12576.935	0.221	NaN	0.221	0.208
12579.895	0.193	NaN	0.193	0.191
12575.668	0.208	NaN	0.208	0.198
12576.891	0.228	NaN	0.228	0.207
12574.323	0.189	NaN	0.189	0.190
12578.282	0.203	NaN	0.203	0.204
12576.227	0.226	NaN	0.226	0.203
12576.553	0.228	NaN	0.228	0.206
12579.525	0.190	NaN	0.190	0.193
12576.881	0.228	NaN	0.228	0.207
12575.746	0.213	NaN	0.213	0.199
12575.087	0.201	NaN	0.201	0.193
12575.877	0.220	NaN	0.220	0.200
12575.751	0.216	NaN	0.216	0.199
12573.267	0.210	NaN	0.210	0.193
12572.418	0.225	NaN	0.225	0.200
12573.106	0.197	NaN	0.197	0.194
12570.832	0.225	NaN	0.225	0.208
12574.375	0.192	NaN	0.192	0.190
12578.575	0.195	NaN	0.195	0.201
12571.431	0.233	NaN	0.233	0.207
12572.479	0.227	NaN	0.227	0.200
12577.913	0.219	NaN	0.219	0.206
12579.121	0.189	NaN	0.189	0.196
12576.656	0.229	NaN	0.229	0.206
12568.453	0.203	NaN	0.203	0.191
12573.285	0.204	NaN	0.204	0.193
12579.860	0.190	NaN	0.190	0.191
12576.719	0.230	NaN	0.230	0.207
12579.054	0.192	NaN	0.192	0.197
12573.783	0.192	NaN	0.192	0.190
12566.551	0.227	NaN	0.227	0.196
12580.113	0.196	NaN	0.196	0.190
12581.018	0.217	NaN	0.217	0.191
12578.286	0.213	NaN	0.213	0.204
12579.166	0.191	NaN	0.191	0.196
12568.154	0.220	NaN	0.220	0.190
12576.136	0.227	NaN	0.227	0.203
12577.626	0.223	NaN	0.223	0.208
12575.770	0.230	NaN	0.230	0.199
12570.003	0.200	NaN	0.200	0.204
12574.997	0.196	NaN	0.196	0.193
12571.263	0.220	NaN	0.220	0.208
12576.399	0.229	NaN	0.229	0.205
12571.056	0.219	NaN	0.219	0.208
12585.782	0.224	NaN	0.224	0.193
12574.596	0.194	NaN	0.194	0.190
12570.787	0.220	NaN	0.220	0.208
12573.871	0.192	NaN	0.192	0.190
12579.125	0.195	NaN	0.195	0.196
12575.624	0.226	NaN	0.226	0.198
12578.379	0.211	NaN	0.211	0.203
12581.355	0.229	NaN	0.229	0.193
12575.197	0.197	NaN	0.197	0.194
12574.602	0.195	NaN	0.195	0.190
12574.497	0.191	NaN	0.191	0.190
12572.603	0.219	NaN	0.219	0.199
12580.309	0.204	NaN	0.204	0.190
12566.814	0.227	NaN	0.227	0.194
12577.796	0.209	NaN	0.209	0.207
12574.758	0.198	NaN	0.198	0.191
12587.904	0.218	NaN	0.218	0.195
12585.982	0.213	NaN	0.213	0.192
12571.810	0.221	NaN	0.221	0.205
12572.697	0.220	NaN	0.220	0.198
12566.480	0.224	NaN	0.224	0.197
12575.219	0.197	NaN	0.197	0.194
12576.391	0.219	NaN	0.219	0.205
12577.493	0.221	NaN	0.221	0.208
12587.313	0.223	NaN	0.223	0.191
12580.548	0.197	NaN	0.197	0.190
12574.213	0.190	NaN	0.190	0.190
12570.528	0.202	NaN	0.202	0.207
12567.757	0.216	NaN	0.216	0.190
12570.541	0.203	NaN	0.203	0.207
12574.620	0.188	NaN	0.188	0.191
12572.366	0.221	NaN	0.221	0.201
12574.207	0.187	NaN	0.187	0.190
12570.763	0.205	NaN	0.205	0.208
12576.987	0.222	NaN	0.222	0.208
12570.779	0.208	NaN	0.208	0.208
12585.559	0.199	NaN	0.199	0.195
12584.074	0.186	NaN	0.186	0.207
12587.061	0.223	NaN	0.223	0.190
12574.260	0.189	NaN	0.189	0.190
12575.036	0.200	NaN	0.200	0.193
12566.720	0.221	NaN	0.221	0.195
12575.430	0.195	NaN	0.195	0.196
12572.105	0.222	NaN	0.222	0.203
12570.762	0.214	NaN	0.214	0.208
12573.063	0.206	NaN	0.206	0.194
12571.098	0.218	NaN	0.218	0.208
12575.881	0.211	NaN	0.211	0.200
12586.162	0.212	NaN	0.212	0.191
12569.774	0.198	NaN	0.198	0.202
12574.371	0.186	NaN	0.186	0.190
12574.632	0.189	NaN	0.189	0.191
12578.787	0.199	NaN	0.199	0.199
12568.188	0.198	NaN	0.198	0.190
12571.503	0.221	NaN	0.221	0.207
12568.194	0.202	NaN	0.202	0.190
12565.432	0.206	NaN	0.206	0.206
12574.562	0.186	NaN	0.186	0.190
12567.720	0.211	NaN	0.211	0.190
12573.254	0.203	NaN	0.203	0.193
12571.844	0.224	NaN	0.224	0.205
12570.826	0.202	NaN	0.202	0.208
12574.339	0.184	NaN	0.184	0.190
12572.365	0.216	NaN	0.216	0.201
12577.484	0.217	NaN	0.217	0.208
12577.407	0.216	NaN	0.216	0.208
12571.416	0.221	NaN	0.221	0.207
12573.935	0.187	NaN	0.187	0.190
12571.868	0.219	NaN	0.219	0.205
12576.135	0.216	NaN	0.216	0.203
12573.547	0.187	NaN	0.187	0.191
